Rank,Team,W,L,Rating,Link
354,Benilde St. Margaret (MN),17,1,89.33,
355,West Morris Central (NJ),5,9,89.33,
356,Towson (MD),8,4,89.3,
357,Hopkinton (MA),11,8,89.26,
358,Valor Christian (CO),12,4,89.23,
359,Woodson (VA),16,6,89.23,
360,Freedom-South Riding (VA),13,5,89.21,
361,Carmel (IN),7,6,89.2,
362,Bridgewater-Raynham (MA),16,3,89.18,
363,Oaks Christian (CA),12,6,89.18,
364,Starr's Mill (GA),4,2,89.18,
365,Weston (CT),13,3,89.17,
366,Rock Canyon (CO),12,3,89.17,
367,Creighton Prep (NE),1,0,89.16,
368,Blessed Trinity (GA),12,3,89.16,
369,Cambridge (GA),12,6,89.16,
370,CBA Syracuse (NY),12,8,89.16,
371,Lake Mary (FL),13,2,89.14,
372,Tesoro (CA),6,1,89.12,
373,Albany Academy (NY),3,2,89.11,
374,Rutgers Prep (NJ),2,0,89.1,
375,Winchester (MA),16,4,89.08,
