index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
39,Coast Guard,9-4,0.6102,,0.6923,0.6071,0.5344,51,0 - 0,0 - 0,0 - 1,9 - 3,girls,D3
40,Washington College,7-6,0.61,,0.5385,0.645,0.6116,19,0 - 2,0 - 1,0 - 1,7 - 2,girls,D3
41,St. Mary's (MD),7-5,0.6073,,0.5833,0.6539,0.538,43,0 - 0,0 - 2,0 - 1,7 - 2,girls,D3
42,Cortland,9-4,0.6037,,0.6923,0.5836,0.5553,52,0 - 1,0 - 1,0 - 1,9 - 1,girls,D3
43,Wisconsin Eau Claire,9-3,0.603,,0.75,0.5896,0.4827,125,0 - 0,0 - 0,0 - 1,9 - 2,girls,D3
44,Wooster,9-2,0.6021,,0.8182,0.5298,0.5308,127,0 - 0,0 - 1,0 - 0,9 - 1,girls,D3
45,Stevenson,9-4,0.5973,,0.6923,0.5605,0.5759,41,0 - 2,0 - 0,0 - 0,9 - 2,girls,D3
46,Stockton,13-1,0.5955,,0.9286,0.4608,0.5318,118,0 - 0,0 - 1,0 - 0,13 - 0,girls,D3
47,Geneseo,10-3,0.5954,,0.7692,0.5106,0.5912,61,0 - 0,0 - 0,0 - 2,10 - 1,girls,D3
48,Hope College,8-4,0.5948,,0.6667,0.5787,0.555,59,0 - 0,0 - 0,0 - 1,8 - 3,girls,D3
49,Cabrini,10-3,0.5901,,0.7692,0.5229,0.5456,67,0 - 0,0 - 1,0 - 1,10 - 1,girls,D3
50,Mount Union,8-3,0.59,,0.7273,0.533,0.5667,69,0 - 0,0 - 1,0 - 0,8 - 2,girls,D3
51,York,7-6,0.5894,,0.5385,0.6039,0.6112,11,0 - 2,0 - 2,2 - 1,5 - 1,girls,D3
52,Kalamazoo,6-1,0.5893,,0.8571,0.5103,0.4793,188,0 - 0,0 - 0,0 - 0,6 - 1,girls,D3
53,Endicott,8-6,0.5857,,0.5714,0.6228,0.5258,44,0 - 2,0 - 0,0 - 1,8 - 3,girls,D3
54,Berry,11-3,0.5851,,0.7857,0.5289,0.4969,122,0 - 0,0 - 0,0 - 0,11 - 3,girls,D3
55,Centre,11-3,0.5846,,0.7857,0.5217,0.5091,103,0 - 0,0 - 0,0 - 0,11 - 3,girls,D3
