index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
208,St. Joseph's (L.I.),1-7,0.3713,,0.1250,0.4799,0.4004,199,0 - 0,0 - 0,0 - 0,24 - 39
209,Alma,1-6,0.3705,,0.1429,0.4598,0.4197,92,0 - 0,0 - 0,3 - 10,40 - 62
210,Marywood,3-9,0.3646,,0.2500,0.3905,0.4273,165,0 - 0,0 - 0,0 - 0,56 - 72
211,Randolph,4-9,0.3616,,0.3077,0.3437,0.4512,90,0 - 0,0 - 0,0 - 11,20 - 71
212,Husson,4-8,0.3609,,0.3333,0.3540,0.4024,230,0 - 0,0 - 0,0 - 0,24 - 64
213,Washington and Jefferson,3-8,0.3553,,0.2727,0.3702,0.4080,169,0 - 0,0 - 0,0 - 3,37 - 57
214,Salem State,4-9,0.3539,,0.3077,0.3396,0.4286,204,0 - 0,0 - 0,0 - 0,18 - 79
215,Beloit,2-8,0.3520,,0.2000,0.3969,0.4144,181,0 - 0,0 - 0,0 - 2,21 - 55
216,Anna Maria,2-12,0.3498,,0.1429,0.4266,0.4031,222,0 - 0,0 - 0,0 - 0,22 - 93
217,Earlham,6-6,0.3467,,0.5000,0.2454,0.3962,226,0 - 0,0 - 0,0 - 1,17 - 63
218,Purchase,3-8,0.3435,,0.2727,0.3519,0.3973,216,0 - 0,0 - 0,0 - 0,21 - 45
219,Anderson,5-8,0.3358,,0.3846,0.2835,0.3918,220,0 - 0,0 - 0,0 - 0,25 - 44
220,Rosemont,1-8,0.3357,,0.1111,0.4186,0.3945,160,0 - 0,0 - 0,0 - 0,31 - 78
221,Bethany,4-7,0.3354,,0.3636,0.2919,0.3944,176,0 - 0,0 - 0,0 - 6,29 - 60
222,Mount St. Mary,1-8,0.3300,,0.1111,0.3730,0.4627,79,0 - 2,1 - 5,0 - 0,30 - 54
223,Albertus Magnus,3-9,0.3274,,0.2500,0.3219,0.4160,231,0 - 0,0 - 0,0 - 0,22 - 79
224,Bryn Athyn,2-5,0.3262,,0.2857,0.3266,0.3659,147,0 - 0,0 - 1,0 - 0,32 - 53
225,Concordia Chicago,0-9,0.3199,,0.0000,0.4303,0.4188,183,0 - 0,0 - 0,0 - 1,5 - 75
226,William Peace,3-7,0.3186,,0.3000,0.2793,0.4159,188,0 - 0,0 - 0,0 - 1,23 - 36
227,Thomas,1-5,0.3146,,0.1667,0.3750,0.3419,232,0 - 0,0 - 0,0 - 0,6 - 53
228,Centenary (LA),1-9,0.3068,,0.1000,0.3571,0.4129,213,0 - 0,0 - 0,0 - 0,7 - 46
229,Wilmington,4-10,0.3048,,0.2857,0.2720,0.3894,193,0 - 0,0 - 0,0 - 0,29 - 80
230,Hilbert,2-5,0.3018,,0.2857,0.2728,0.3761,206,0 - 0,0 - 0,0 - 0,22 - 41
231,Brevard,2-8,0.3016,,0.2000,0.3195,0.3674,223,0 - 0,0 - 0,0 - 0,7 - 37
232,Mitchell,0-8,0.2995,,0.0000,0.4031,0.3919,219,0 - 0,0 - 0,0 - 0,11 - 67
233,Spalding,1-11,0.2935,,0.0833,0.3477,0.3955,234,0 - 0,0 - 0,0 - 0,1 - 25
234,Cobleskill,1-7,0.2906,,0.1250,0.3571,0.3231,236,0 - 0,0 - 0,0 - 0,12 - 48
235,Mount St. Joseph,0-11,0.2813,,0.0000,0.3780,0.3691,208,0 - 0,0 - 0,0 - 1,17 - 94
236,MCLA,1-9,0.2740,,0.1000,0.3167,0.3626,238,0 - 0,0 - 0,0 - 0,5 - 30
237,Centenary (NJ),1-11,0.2641,,0.0833,0.2862,0.4009,153,0 - 0,0 - 0,0 - 0,22 - 78
238,La Roche,0-9,0.2275,,0.0000,0.2896,0.3306,215,0 - 0,0 - 0,0 - 0,8 - 73
239,Warren Wilson,0-8,0.1944,,0.0000,0.2226,0.3324,237,0 - 0,0 - 0,0 - 0,1 - 27
