rank,team,w,l,rating,link,gender
490,Glendale (CA),0,2,0.0,,girls
491,Grand Rapids Christian (MI),0,1,0.0,,girls
492,Granite Bay (CA),0,2,0.0,,girls
493,Granite Hills (CA),0,1,0.0,,girls
494,Great Valley (PA),0,1,0.0,,girls
495,Greenhill (TX),0,9,0.0,,girls
496,Greens Farms Academy (CT),0,1,0.0,,girls
497,Greensboro Day School (NC),0,1,0.0,,girls
498,Greenwich (NY),0,1,0.0,,girls
499,Grimsley (NC),0,1,0.0,,girls
500,Grosse Pointe South (MI),0,2,0.0,,girls
