rank,team,w,l,rating,link,gender
272,Garnet Valley (PA),9,9,90.24,,boys
273,Pine Richland (PA),13,4,90.23,,boys
274,Princeton Day (NJ),3,3,90.23,,boys
275,Sacred Heart Prep (CA),5,3,90.22,,boys
276,Our Lady-Good Counsel (MD),7,10,90.22,,boys
277,Saint Viator (IL),14,2,90.2,,boys
278,Washington Twp (NJ),0,1,90.2,,boys
279,Medfield (MA),12,8,90.19,,boys
280,Middlesex School (MA),1,5,90.19,,boys
281,Wilson West Lawn (PA),17,4,90.18,,boys
282,Riverside Mil Acad (GA),1,0,90.16,,boys
283,Mars Area (PA),14,1,90.14,,boys
284,Roxbury (NJ),4,3,90.09,,boys
285,Lovett (GA),12,5,90.08,,boys
286,Trumbull (CT),10,6,90.04,,boys
287,Hendrick Hudson (NY),16,2,90.01,,boys
288,Wellesley (MA),14,5,89.97,,boys
289,Dawson School (CO),4,3,89.97,,boys
290,JM Bennett (MD),10,2,89.96,,boys
291,Olentangy Liberty (OH),14,7,89.96,,boys
292,Park City (UT),15,0,89.95,,boys
293,West Des Moines Valley LC (IA),1,0,89.94,,boys
294,Kell (GA),3,2,89.93,,boys
295,Proctor Academy (NH),3,5,89.93,,boys
296,Madison (NJ),13,4,89.91,,boys
297,Monarch (CO),5,4,89.89,,boys
298,Wayland (MA),17,3,89.87,,boys
299,Hewlett (NY),5,8,89.87,,boys
300,South River (MD),5,3,89.86,,boys
301,St Johns Shrewsbury (MA),16,5,89.85,,boys
302,Holy Ghost Prep (PA),12,3,89.84,,boys
303,Apex (NC),12,5,89.83,,boys
304,St Johns Prep Danvers (MA),11,10,89.81,,boys
305,Harborfields (NY),8,5,89.77,,boys
306,Ocean City (NJ),3,2,89.74,,boys
307,Kiski Prep (PA),13,8,89.73,,boys
308,Chaparral (CO),12,3,89.71,,boys
309,Irondequoit (NY),10,7,89.71,,boys
310,Sunset (OR),1,2,89.71,,boys
311,John Carroll (MD),5,13,89.71,,boys
312,Caldwell (NJ),7,4,89.7,,boys
313,Saint Ignatius Prep (CA),10,7,89.7,,boys
314,Groton School (MA),2,4,89.7,,boys
315,Blue Ridge School (VA),7,2,89.69,,boys
316,Eastlake (WA),16,4,89.68,,boys
317,Walton (GA),13,4,89.68,,boys
318,Centennial (MD),8,5,89.68,,boys
319,Tampa Jesuit (FL),15,3,89.67,,boys
320,Prior Lake (MN),4,2,89.67,,boys
321,Marvin Ridge (NC),14,3,89.66,,boys
322,East Syracuse-Minoa (NY),16,4,89.64,,boys
323,Mountain View (ID),2,2,89.62,,boys
324,Pelham Memorial (NY),11,9,89.6,,boys
325,Sparta (NJ),4,6,89.59,,boys
326,Concord Carlisle (MA),18,6,89.58,,boys
327,Jesuit-Portland (OR),2,3,89.58,,boys
328,Northern/Calv Cty (MD),2,1,89.55,,boys
329,Delaware Valley (NJ),11,2,89.54,,boys
330,Archbishop Stepinac (NY),13,4,89.54,,boys
331,Sachem East (NY),5,7,89.52,,boys
332,Winter Park (FL),18,2,89.5,,boys
333,Loomis Chaffee (CT),5,15,89.5,,boys
334,Northwest Guilford (NC),16,4,89.48,,boys
335,Olentangy (OH),13,4,89.46,,boys
336,Cheyenne Mountain (CO),4,0,89.45,,boys
337,Friends (MD),16,2,89.45,,boys
338,Unionville (PA),10,6,89.45,,boys
339,Cape Henry Collegiate (VA),7,5,89.45,,boys
340,Parkland (PA),15,3,89.43,,boys
341,MICDS (MO),20,2,89.41,,boys
342,Oakton (VA),4,1,89.41,,boys
343,Exeter HS (NH),14,5,89.41,,boys
344,Needham (MA),13,7,89.4,,boys
345,Marple Newtown (PA),9,6,89.39,,boys
346,Scarsdale (NY),10,7,89.39,,boys
347,Mainland Regional (NJ),1,1,89.39,,boys
348,Collegiate School (VA),9,7,89.38,,boys
349,Chagrin Falls (OH),11,1,89.37,,boys
350,Springboro (OH),13,3,89.37,,boys
351,North Hunterdon (NJ),2,0,89.36,,boys
352,Corning (NY),14,3,89.36,,boys
353,Flower Mound (TX),10,4,89.35,,boys
354,Benilde St. Margaret (MN),17,1,89.33,,boys
355,West Morris Central (NJ),5,9,89.33,,boys
356,Towson (MD),8,4,89.3,,boys
357,Hopkinton (MA),11,8,89.26,,boys
358,Valor Christian (CO),12,4,89.23,,boys
359,Woodson (VA),16,6,89.23,,boys
360,Freedom-South Riding (VA),13,5,89.21,,boys
361,Carmel (IN),7,6,89.2,,boys
